station_name,amphoe,tambon,station_id,station_type,cand_number,candidate_name,party_name,color_hex,score
election_data\อำเภอทุ่งศรีอุดม\ตำบลนาห่อม\หน่วยที่ 10,อำเภอทุ่งศรีอุดม,ตำบลนาห่อม,หน่วยที่ 10,election_day,5,นายสิโรตม์ แสนทวีสุข,ประชาชน,#f47933,4
election_data\อำเภอทุ่งศรีอุดม\ตำบลนาห่อม\หน่วยที่ 10,อำเภอทุ่งศรีอุดม,ตำบลนาห่อม,หน่วยที่ 10,election_day,6,นายยิ่ง ภูผา,ประชาธิปัตย์,#00a2e8,3
election_data\อำเภอทุ่งศรีอุดม\ตำบลนาห่อม\หน่วยที่ 11,อำเภอทุ่งศรีอุดม,ตำบลนาห่อม,หน่วยที่ 11,election_day,1,นายเกษม ฉิมพลี,ภูมิใจไทย,#212b6b,12
election_data\อำเภอทุ่งศรีอุดม\ตำบลนาห่อม\หน่วยที่ 11,อำเภอทุ่งศรีอุดม,ตำบลนาห่อม,หน่วยที่ 11,election_day,2,นายสมศักดิ์ บุญประชม,เพื่อไทรวมพลัง,#ff66cc,164
election_data\อำเภอทุ่งศรีอุดม\ตำบลนาห่อม\หน่วยที่ 11,อำเภอทุ่งศรีอุดม,ตำบลนาห่อม,หน่วยที่ 11,election_day,3,นายวัชรพล เชื้อคง,เพื่อไทย,#e0002b,53
election_data\อำเภอทุ่งศรีอุดม\ตำบลนาห่อม\หน่วยที่ 11,อำเภอทุ่งศรีอุดม,ตำบลนาห่อม,หน่วยที่ 11,election_day,4,นางสาวมิลิณ กำเนิดสิงห์,พลังประชารัฐ,#1f56a3,1
election_data\อำเภอทุ่งศรีอุดม\ตำบลนาห่อม\หน่วยที่ 11,อำเภอทุ่งศรีอุดม,ตำบลนาห่อม,หน่วยที่ 11,election_day,5,นายสิโรตม์ แสนทวีสุข,ประชาชน,#f47933,53
election_data\อำเภอทุ่งศรีอุดม\ตำบลนาห่อม\หน่วยที่ 11,อำเภอทุ่งศรีอุดม,ตำบลนาห่อม,หน่วยที่ 11,election_day,6,นายยิ่ง ภูผา,ประชาธิปัตย์,#00a2e8,0
election_data\อำเภอทุ่งศรีอุดม\ตำบลนาห่อม\หน่วยที่ 2,อำเภอทุ่งศรีอุดม,ตำบลนาห่อม,หน่วยที่ 2,election_day,1,นายเกษม ฉิมพลี,ภูมิใจไทย,#212b6b,4
election_data\อำเภอทุ่งศรีอุดม\ตำบลนาห่อม\หน่วยที่ 2,อำเภอทุ่งศรีอุดม,ตำบลนาห่อม,หน่วยที่ 2,election_day,2,นายสมศักดิ์ บุญประชม,เพื่อไทรวมพลัง,#ff66cc,147
election_data\อำเภอทุ่งศรีอุดม\ตำบลนาห่อม\หน่วยที่ 2,อำเภอทุ่งศรีอุดม,ตำบลนาห่อม,หน่วยที่ 2,election_day,3,นายวัชรพล เชื้อคง,เพื่อไทย,#e0002b,6
election_data\อำเภอทุ่งศรีอุดม\ตำบลนาห่อม\หน่วยที่ 2,อำเภอทุ่งศรีอุดม,ตำบลนาห่อม,หน่วยที่ 2,election_day,4,นางสาวมิลิณ กำเนิดสิงห์,พลังประชารัฐ,#1f56a3,1
election_data\อำเภอทุ่งศรีอุดม\ตำบลนาห่อม\หน่วยที่ 2,อำเภอทุ่งศรีอุดม,ตำบลนาห่อม,หน่วยที่ 2,election_day,5,นายสิโรตม์ แสนทวีสุข,ประชาชน,#f47933,12
election_data\อำเภอทุ่งศรีอุดม\ตำบลนาห่อม\หน่วยที่ 2,อำเภอทุ่งศรีอุดม,ตำบลนาห่อม,หน่วยที่ 2,election_day,6,นายยิ่ง ภูผา,ประชาธิปัตย์,#00a2e8,1
election_data\อำเภอทุ่งศรีอุดม\ตำบลนาห่อม\หน่วยที่ 3,อำเภอทุ่งศรีอุดม,ตำบลนาห่อม,หน่วยที่ 3,election_day,1,นายเกษม ฉิมพลี,ภูมิใจไทย,#212b6b,0
election_data\อำเภอทุ่งศรีอุดม\ตำบลนาห่อม\หน่วยที่ 3,อำเภอทุ่งศรีอุดม,ตำบลนาห่อม,หน่วยที่ 3,election_day,2,นายสมศักดิ์ บุญประชม,เพื่อไทรวมพลัง,#ff66cc,206
election_data\อำเภอทุ่งศรีอุดม\ตำบลนาห่อม\หน่วยที่ 3,อำเภอทุ่งศรีอุดม,ตำบลนาห่อม,หน่วยที่ 3,election_day,3,นายวัชรพล เชื้อคง,เพื่อไทย,#e0002b,0
election_data\อำเภอทุ่งศรีอุดม\ตำบลนาห่อม\หน่วยที่ 3,อำเภอทุ่งศรีอุดม,ตำบลนาห่อม,หน่วยที่ 3,election_day,4,นางสาวมิลิณ กำเนิดสิงห์,พลังประชารัฐ,#1f56a3,7
election_data\อำเภอทุ่งศรีอุดม\ตำบลนาห่อม\หน่วยที่ 3,อำเภอทุ่งศรีอุดม,ตำบลนาห่อม,หน่วยที่ 3,election_day,5,นายสิโรตม์ แสนทวีสุข,ประชาชน,#f47933,25
election_data\อำเภอทุ่งศรีอุดม\ตำบลนาห่อม\หน่วยที่ 3,อำเภอทุ่งศรีอุดม,ตำบลนาห่อม,หน่วยที่ 3,election_day,6,นายยิ่ง ภูผา,ประชาธิปัตย์,#00a2e8,2
